epoch,c1_acc,c1_loss,c2_acc,c2_loss,c3_acc,c3_loss,c4_acc,c4_loss,loss
0,0.05193076,3.6255393,0.0337328,3.6579344,0.039724812,3.6835997,0.037949402,3.6604195,14.628565742976921
1,0.1964048,2.9415479,0.15867732,3.0480347,0.14780293,3.0897048,0.12605415,3.1670969,12.246574390849906
2,0.46271637,2.1912293,0.37217045,2.4057584,0.35796717,2.4725115,0.304261,2.6129832,9.68417831976256
3,0.7387927,1.4255811,0.6400355,1.7002264,0.6245007,1.766048,0.5781181,1.9120523,6.804529019053968
4,0.90878826,0.89575434,0.85730135,1.1257403,0.8448735,1.1606916,0.831336,1.2585496,4.440577051558074
5,0.9738127,0.56937784,0.96049714,0.7201248,0.96116287,0.7457433,0.9529516,0.79684335,2.8315287868128953
6,0.9960053,0.36694348,0.9924545,0.45655033,0.9931203,0.4753767,0.9915668,0.49833846,1.7974044327412084
7,0.9995561,0.24277253,0.9993342,0.29122925,0.9982246,0.30291978,0.9993342,0.3127355,1.1495150518163384
8,1.0,0.17652123,1.0,0.20474179,0.9997781,0.21133254,1.0,0.21609655,0.8089014569547935
9,1.0,0.13097905,1.0,0.15199515,1.0,0.15495901,1.0,0.15600234,0.5940455870526767
10,1.0,0.10551237,0.9997781,0.12230715,1.0,0.12384607,1.0,0.12481817,0.4765010339997897
11,1.0,0.08441257,1.0,0.09708664,1.0,0.09979709,1.0,0.09810679,0.37949836262056574
12,1.0,0.0734067,1.0,0.08168992,1.0,0.08309542,1.0,0.08293054,0.3212003442932117
13,1.0,0.06314141,1.0,0.069529206,1.0,0.07244465,1.0,0.07204116,0.27689708494843773
14,1.0,0.056189347,1.0,0.063832976,1.0,0.06527446,1.0,0.06466993,0.2498763128751339
15,1.0,0.047703948,1.0,0.052462164,1.0,0.053672787,1.0,0.05331819,0.2069821102958862
16,1.0,0.043284528,1.0,0.048823744,1.0,0.049175046,1.0,0.04906525,0.19036797937741556
17,1.0,0.039653994,1.0,0.043762792,1.0,0.04428327,1.0,0.044526152,0.17206311125359533
18,1.0,0.036308043,1.0,0.04029063,1.0,0.040275272,1.0,0.040560726,0.1572286157252468
19,1.0,0.034099206,1.0,0.037076905,1.0,0.03745307,1.0,0.037434112,0.14596354577126527
20,1.0,0.0323658,1.0,0.03500589,1.0,0.0355983,1.0,0.035626408,0.13846118707181718
21,1.0,0.02767284,1.0,0.03082518,1.0,0.031464215,1.0,0.0312728,0.12121772483698907
22,1.0,0.02747359,1.0,0.029875556,1.0,0.03072834,1.0,0.030337706,0.11846023953085309
23,1.0,0.02564043,1.0,0.028013956,1.0,0.02834512,1.0,0.028490895,0.11038204904561354
24,1.0,0.023114473,1.0,0.02605952,1.0,0.025981609,1.0,0.025863256,0.10104851151869872
25,1.0,0.022413148,1.0,0.024503114,1.0,0.024954874,1.0,0.024923261,0.09679144709191215
26,1.0,0.021394636,1.0,0.023896059,1.0,0.024341837,1.0,0.02385336,0.09346548821388538
27,1.0,0.01999298,1.0,0.021744687,1.0,0.02225369,1.0,0.021654755,0.08566312681713265
28,1.0,0.018292591,1.0,0.019948242,1.0,0.02017424,1.0,0.02008782,0.0784983877944142
29,1.0,0.018487886,1.0,0.02015897,1.0,0.020763865,1.0,0.02058827,0.07993151696586524
30,1.0,0.016925596,1.0,0.018396197,1.0,0.018571716,1.0,0.018951148,0.07286001044282954
31,1.0,0.016411029,1.0,0.017784692,1.0,0.018498817,1.0,0.018289052,0.07094659104685333
32,1.0,0.01551108,1.0,0.016890893,1.0,0.017288657,1.0,0.016815884,0.06650867287683
33,1.0,0.014748998,1.0,0.016177347,1.0,0.016172566,1.0,0.016074529,0.06317829319035748
34,1.0,0.0148605695,1.0,0.016108468,1.0,0.016237507,1.0,0.016130477,0.06335671652807853
35,1.0,0.014360012,1.0,0.015722852,1.0,0.015981182,1.0,0.015866125,0.06191671509717339
36,1.0,0.012917117,1.0,0.0138437515,1.0,0.014116105,1.0,0.0142118335,0.05510337312143218
37,1.0,0.012466138,1.0,0.01385159,1.0,0.013780623,1.0,0.013867436,0.053965439453648296
38,1.0,0.012504075,1.0,0.013590583,1.0,0.013755949,1.0,0.013961361,0.053785189486878
39,1.0,0.011819967,1.0,0.012912462,1.0,0.013144813,1.0,0.012846516,0.050732584894232574
40,1.0,0.011709949,1.0,0.012609661,1.0,0.012950863,1.0,0.012675396,0.04992856941803053
41,1.0,0.011379995,1.0,0.012412178,1.0,0.01243818,1.0,0.012311272,0.04849111737209694
42,1.0,0.010885988,1.0,0.011841313,1.0,0.011937994,1.0,0.011790125,0.04646559568230332
43,1.0,0.010034015,1.0,0.010853608,1.0,0.010964323,1.0,0.011024673,0.04288818807573886
44,1.0,0.010367626,1.0,0.011292424,1.0,0.011231274,1.0,0.011199764,0.04407736610768374
45,1.0,0.010511291,1.0,0.011343396,1.0,0.011667886,1.0,0.0114682,0.04500193512451633
46,1.0,0.009419001,1.0,0.010147032,1.0,0.010141583,1.0,0.010115501,0.03983126346913116
47,1.0,0.009162762,1.0,0.010101934,1.0,0.01014478,1.0,0.010164448,0.039577710746898684
48,1.0,0.008983466,1.0,0.009776703,1.0,0.010038718,1.0,0.009728045,0.038532160022459294
49,1.0,0.009297764,1.0,0.009970042,1.0,0.010061228,1.0,0.010036748,0.039371349902958326
